CAN2011932,/en-ca/properties/mixed-use-redevelopment-opportunity-in-ville-marie/can-1662-de-maisonneuve-w-montréal-quebec-canada/can2011932,mixed-use-redevelopment-opportunity-in-ville-marie,['Chimene Constance'],"1662 de Maisonneuve W, Montréal, Quebec, Canada",zachary.kramer@colliers.com
CAN2011958,/en-ca/properties/office-and-retail-condominiums-for-sale/can-7474-7478-rue-saint-hubert-montréal-quebec-canada/can2011958,office-and-retail-condominiums-for-sale,"['beatrice roquet', 'Francois Roquet']","7474-7478 rue Saint-Hubert, Montréal, Quebec, Canada",eryka.leblond@colliers.com
CAN2010471,/en-ca/properties/office-space-in-the-heart-of-longueuil-industrial-park/can-784-818-guimond-boulevard-longueuil-quebec-canada/can2010471,office-space-in-the-heart-of-longueuil-industrial-park,"['beatrice roquet', 'Francois Roquet']","784-818 Guimond Boulevard, Longueuil, Quebec, Canada",eryka.leblond@colliers.com
CAN2010473,/en-ca/properties/office-space-in-the-heart-of-longueuil-industrial-park/can-667-687-giffard-street-longueuil-quebec-canada/can2010473,office-space-in-the-heart-of-longueuil-industrial-park,"['beatrice roquet', 'Francois Roquet']","667-687 Giffard Street, Longueuil, Quebec, Canada",eryka.leblond@colliers.com
CAN2010470,/en-ca/properties/office-space-located-in-longueuil-near-highway-20/can-874-896-jean-neveu-street-longueuil-quebec-canada/can2010470,office-space-located-in-longueuil-near-highway-20,"['beatrice roquet', 'Francois Roquet']","874-896 Jean-Neveu Street, Longueuil, Quebec, Canada",eryka.leblond@colliers.com
CAN2011264,/en-ca/properties/office-space-facing-on-highway-20/can-1290-nobel-street-boucherville-quebec-canada/can2011264,office-space-facing-on-highway-20,"['beatrice roquet', 'Francois Roquet']","1290 Nobel Street, Boucherville, Quebec, Canada",eryka.leblond@colliers.com
CAN2011275,/en-ca/properties/plug-and-play-office-spaces/can-25-de-lauzon-street-boucherville-quebec-canada/can2011275,plug-and-play-office-spaces,"['beatrice roquet', 'Francois Roquet']","25 De Lauzon Street, Boucherville, Quebec, Canada",eryka.leblond@colliers.com
CAN2011266,/en-ca/properties/industrial-space-facing-highway-30/can-5250-armand-frappier-street-saint-hubert-quebec-canada/can2011266,industrial-space-facing-highway-30,"['beatrice roquet', 'Francois Roquet']","5250 Armand Frappier Street, Saint-Hubert, Quebec, Canada",eryka.leblond@colliers.com
CAN2011280,/en-ca/properties/fully-air-conditioned-flex-spaces/can-1550-de-coulomb-street-suite-a-boucherville-quebec-canada/can2011280,fully-air-conditioned-flex-spaces,"['beatrice roquet', 'Francois Roquet']","1550 De Coulomb Street, Suite A, Boucherville, Quebec, Canada",eryka.leblond@colliers.com
CAN2010240,/en-ca/properties/o-mile-ex/can-6650-6666-saint-urbain-street-montréal-quebec-canada/can2010240,o-mile-ex,"['Andre Plourde', 'Julie Cote', 'Francois Laurence', 'Julien Methot', 'Patrick Vallieres', 'Thomas Coutu']","6650-6666 Saint-Urbain Street, Montréal, Quebec, Canada",magali.bannier@colliers.com
CAN2008412,/en-ca/properties/industrial-spaces-located-in-longueuil-for-lease/can-505-531-le-breton-street-longueuil-quebec-canada/can2008412,industrial-spaces-located-in-longueuil-for-lease,"['marc dube', 'Nicholas Payette']","505-531 Le Breton Street, Longueuil, Quebec, Canada",katia.pazzia@colliers.com
CAN2010352,/en-ca/properties/office-space-available-for-sublease/can-1425-rené-lévesque-boulevard-west-montreal-quebec-canada/can2010352,office-space-available-for-sublease,"['Greg Dyson', 'tamara arcelaluc']","1425 René-Lévesque Boulevard West, Montreal, Quebec, Canada",patricia.christou@colliers.com
CAN2008301,/en-ca/properties/new-state-of-the-art-40-acre-development-project-located-in-beauharnois/can-urgel-charette-beauharnois-quebec-canada/can2008301,new-state-of-the-art-40-acre-development-project-located-in-beauharnois,"['Vincent Iadeluca', 'marc dube']","Urgel-Charette, Beauharnois, Quebec, Canada",katia.pazzia@colliers.com
CAN2010451,/en-ca/properties/office-space-for-lease-in-laval/can-4451-4479-autoroute-laval-west-laval-laval-quebec-canada/can2010451,office-space-for-lease-in-laval,"['Francois Laurence', 'Julie Cote']","4451-4479 Autoroute Laval West, Laval, Laval, Quebec, Canada",magali.bannier@colliers.com
CAN2010837,/en-ca/properties/flex-office-space-with-storage-area/can-2985-sunnybrooke-blvd-dorval-quebec-canada/can2010837,flex-office-space-with-storage-area,"['Francois Laurence', 'Thomas Coutu', 'Julie Cote', 'Andre Plourde', 'Patrick Vallieres', 'Julien Methot']","2985 Sunnybrooke Blvd., Dorval, Quebec, Canada",magali.bannier@colliers.com
CAN2010891,/en-ca/properties/unique-urban-industrial-property-for-lease/can-1305-montmorency-street-montreal-quebec-canada/can2010891,unique-urban-industrial-property-for-lease,"['Anthony Kyriacou', 'Marc Lemay']","1305 Montmorency Street, Montreal, Quebec, Canada",nancy.gallina@colliers.com
CAN2012088,/en-ca/properties/multi-parcel-redevelopment-site-in-the-heart-of-the-plateau-hotel-development-opportunity/can-11-marie-anne-montréal-qc-h2w-1a1-montreal-quebec-canada/can2012088,multi-parcel-redevelopment-site-in-the-heart-of-the-plateau-hotel-development-opportunity,['Anthony Kyriacou'],"11 Marie-Anne Montréal, QC H2W 1A1, Montreal, Quebec, Canada",cherry.kaur@colliers.com
CAN2012011,/en-ca/properties/food-manufacturing-building-in-napierville/can-150-boul-industriel-napierville-quebec-canada/can2012011,food-manufacturing-building-in-napierville,"['Vincent Iadeluca', 'marc dube', 'Nicholas Payette']","150 boul. industriel, Napierville, Quebec, Canada",katia.pazzia@colliers.comCAN2011932,/en-ca/properties/mixed-use-redevelopment-opportunity-in-ville-marie/can-1662-de-maisonneuve-w-montréal-quebec-canada/can2011932,mixed-use-redevelopment-opportunity-in-ville-marie,['Chimene Constance'],"1662 de Maisonneuve W, Montréal, Quebec, Canada",zachary.kramer@colliers.com
